1;24.583824647369273;13.480550153370643;15.659192973049226;17.33165637932321;13.545908898670756
5;0;0;2.104;0;0
25;0;0;2.9800000000000004;0;0
125;0;0;0;0;0
3;0;0;0;0;0
15;0;0;0;0;0
75;0;0;0;0;0
375;0;0;0;0;0
2;44.40447872368476;12.75149633697033;11.152383448005338;4.60156896;3.1082824128
10;0;0;0;0;0
50;0;0;0;0;0
250;0;0;0;0;0
6;0;0;0;0;0
30;0;0;0;0;0
150;0;0;0;0;0
750;0;0;0;0;0
4;113.9695445716982;113.963226661407;113.97066650198049;113.97065253505276;113.96832214642045
20;0;0;0;2.2800000000000002;22.71692912644879
100;0;0;2.2800000000000002;0;0
500;0;0;0;0;0
12;0;0;0;0;0
60;0;0;0;0;0
300;0;0;0;0;0
1500;0;0;0;0;0
8;14.357832562677952;31.942443151041545;5.366315790643201;9.167447951522032;7.404268034955351
40;0;0;0;0;0
200;0;0;0;0;0
1000;0;0;0;0;0
24;0;0;0;0;0
120;0;0;0;0;0
600;0;0;0;0;0
3000;0;0;0;0;0
16;25.952786712411054;4.842746452011029;8.986283682532394;7.8100157335453435;3.1304130679730697
80;0.9456720000000001;0.9502209600000001;0;2.554557112639573;0
400;0;0;0;0;0
2000;0;0;0;0;0
48;0;0;0;0;0
240;0;0;0;0;0
1200;0;0;0;0;0
6000;0;0;0;0;0
